,segundos_da_viagem,milhas_da_viagem,trato_do_censo_do_embarque,trato_do_censo_do_desembarque,area_comunitaria_do_embarque,area_comunitaria_do_desembarque,tarifa,gorjeta,cobrancas_adicionais,total_da_viagem,viagens_agrupadas,latitude_do_centroide_do_embarque,longitude_do_centroide_do_embarque,latitude_do_centroide_do_desembarque,longitude_do_centroide_do_desembarque,hora_inicio,dia_da_semana
count,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0,162402.0
mean,941.0620374133324,4.404098471693698,17031354041.447569,17031363567.916012,22.00323271880888,22.45936010640263,9.299592985308063,0.5103878031058731,2.597736930905033,12.407717719318969,1.3238137461361312,41.89920568238453,-87.65761441586837,41.89959799532505,-87.65875230398373,14.273254023965222,3.2540054925431954
std,685.3591133066524,4.38460247207971,324889.30683846684,329822.00564328016,17.574703753505048,17.921887346913806,6.9697735973613195,1.3715464794523453,1.66859017877079,8.4901133240092,0.8050129067304099,0.04818908330353036,0.04964145104704549,0.04832552989782069,0.052836437460096204,6.021351863200608,1.9090228057892784
min,0.0,0.0,17031010100.0,17031010100.0,1.0,1.0,0.0,0.0,0.0,0.67,1.0,41.6502216756,-87.9030396611,41.6502216756,-87.9030396611,0.0,0.0
25%,490.0,1.5,17031081201.0,17031081201.0,8.0,8.0,5.0,0.0,2.55,7.55,1.0,41.8809944707,-87.6711095263,41.8809944707,-87.6712503529,10.0,2.0
50%,776.0,2.9,17031241500.0,17031242100.0,22.0,22.0,7.5,0.0,2.55,10.05,1.0,41.8950334495,-87.6462934762,41.8932163595,-87.6459662069,16.0,4.0
75%,1202.0,5.5,17031831600.0,17031832300.0,32.0,32.0,10.0,0.0,2.55,14.55,1.0,41.9287630064,-87.6314065252,41.9289672664,-87.6314065252,19.0,5.0
max,72420.0,59.4,17031980100.0,17031980100.0,77.0,77.0,150.0,51.0,14.18,162.1,14.0,42.0212235931,-87.529950466,42.0212235931,-87.529950466,23.0,6.0
